,EJ2,J2,PLT3,PLT7,Season,obs_mean,variance
126,H6,M,M,W,Summer 22,4.911111111111111,5.537373737373738
127,H6,M,M,W,Summer 23,5.425925925925926,10.022711390635921
128,H6,M,W,W,Fall 22,1.4509803921568627,1.4975732867404388
129,H6,M,W,W,Spring 23,1.2689655172413794,1.7396551724137932
130,H6,M,W,W,Summer 22,1.52,2.235483870967742
131,H6,M,W,W,Summer 23,2.3,3.8652173913043484
132,H6,W,H,W,Summer 22,0.2085889570552147,0.2648640460501402
133,H6,W,H,W,Summer 23,0.4818181818181818,0.5455379482902418
134,H6,W,M,W,Summer 22,1.456140350877193,2.681077694235589
135,H6,W,M,W,Summer 23,1.84375,1.2973790322580647
136,H6,W,W,W,Summer 22,0.10909090909090909,0.09808173477898245
137,H6,W,W,W,Summer 23,0.225,0.28141025641025647
138,H7,H,H,W,Summer 22,0.23394495412844038,0.29063966515875356
139,H7,H,M,W,Summer 22,1.725,2.26827731092437
140,H7,H,W,W,Summer 22,0.31666666666666665,0.41988795518207284
141,H7,M,H,W,Spring 23,1.0769230769230769,1.2653548002385213
142,H7,M,H,W,Summer 22,1.0689655172413792,1.508245877061469
143,H7,M,M,W,Spring 23,3.318840579710145,7.602728047740834
144,H7,M,M,W,Summer 22,3.2291666666666665,4.308067375886525
145,H7,M,W,W,Spring 23,0.9571428571428572,0.8821946169772255
146,H7,M,W,W,Summer 22,1.4428571428571428,2.511180124223603
147,H7,W,H,W,Summer 22,0.25,0.28640776699029125
148,H7,W,M,W,Summer 22,1.2,2.104347826086957
149,H7,W,W,W,Summer 22,0.10909090909090909,0.09898989898989899
150,H8,H,H,H,Fall 22,1.28,1.415757575757575
151,H8,H,H,H,Summer 22,0.2777777777777778,0.40511860174781533
152,H8,H,H,M,Fall 22,3.4242424242424243,4.961038961038961
153,H8,H,H,M,Summer 22,1.5263157894736843,5.040935672514618
154,H8,H,H,W,Fall 22,0.7083333333333334,0.7797619047619048
155,H8,H,H,W,Summer 22,0.1,0.1134831460674157
156,H8,H,H,W,Summer 23,0.27843803056027167,0.32370095746278105
157,H8,H,M,H,Fall 22,11.44047619047619,58.90002868617323
158,H8,H,M,H,Summer 22,11.375,31.214743589743595
159,H8,H,M,W,Fall 22,3.0,2.0
160,H8,H,M,W,Summer 22,1.9,3.2526315789473683
161,H8,H,M,W,Summer 23,1.9924242424242424,2.6083074086876357
162,H8,H,W,H,Fall 22,0.8245614035087719,0.9686716791979947
163,H8,H,W,H,Summer 22,0.12857142857142856,0.17163561076604555
164,H8,H,W,M,Fall 22,1.0333333333333334,1.2057471264367814
165,H8,H,W,M,Summer 22,0.3,0.4555555555555555
166,H8,H,W,W,Fall 22,0.5666666666666667,0.5298850574712644
167,H8,H,W,W,Summer 22,0.1875,0.19813829787234047
168,H8,H,W,W,Summer 23,0.242152466367713,0.26542237304569133
169,H8,M,H,H,Fall 22,2.92,3.136326530612244
170,H8,M,H,H,Summer 22,2.235294117647059,20.481123792800705
171,H8,M,H,M,Fall 22,4.5,9.842105263157896
172,H8,M,H,M,Summer 22,4.3,4.975862068965518
173,H8,M,H,W,Fall 22,1.45,1.7093220338983053
174,H8,M,H,W,Spring 23,1.07,1.8637373737373746
175,H8,M,H,W,Summer 22,1.1333333333333333,1.3609195402298848
176,H8,M,H,W,Summer 23,1.56875,2.246816037735848
177,H8,M,M,H,Fall 22,9.5,13.421052631578945
178,H8,M,M,H,Summer 22,12.559322033898304,57.112799532437144
179,H8,M,M,W,Fall 22,5.8,1.9555555555555548
180,H8,M,M,W,Spring 23,2.1666666666666665,2.354609929078014
181,H8,M,M,W,Summer 22,4.233333333333333,4.874712643678162
182,H8,M,M,W,Summer 23,4.842105263157895,7.209728867623603
183,H8,M,W,H,Fall 22,1.2,0.8444444444444444
184,H8,M,W,H,Summer 22,1.4,1.4105263157894736
185,H8,M,W,M,Fall 22,1.9,1.3344827586206895
186,H8,M,W,M,Summer 22,1.3,1.0631578947368423
187,H8,M,W,W,Fall 22,5.7,5.788888888888888
188,H8,M,W,W,Spring 23,0.8469387755102041,1.1618977487902378
189,H8,M,W,W,Summer 22,0.4,0.46315789473684205
190,H8,M,W,W,Summer 23,1.1583333333333334,1.32766106442577
191,H8,W,H,H,Fall 22,1.0,0.7586206896551725
192,H8,W,H,H,Summer 22,0.463768115942029,1.7523444160272807
193,H8,W,H,M,Fall 22,2.9,2.7869565217391314
194,H8,W,H,M,Summer 22,2.289473684210526,21.56258890469416
195,H8,W,H,W,Fall 22,0.725,0.9737179487179489
196,H8,W,H,W,Summer 22,0.7692307692307693,11.28744939271255
197,H8,W,H,W,Summer 23,0.1875,0.3419811320754716
198,H8,W,M,H,Fall 22,9.2,10.905263157894737
199,H8,W,M,H,Summer 22,7.5,9.61111111111111
200,H8,W,M,W,Fall 22,2.325,1.9685897435897437
201,H8,W,M,W,Summer 23,1.55,1.4658227848101266
202,H8,W,W,H,Fall 22,0.3333333333333333,0.4367816091954023
203,H8,W,W,H,Summer 22,0.05,0.049999999999999996
204,H8,W,W,M,Fall 22,0.3,0.23333333333333334
205,H8,W,W,W,Fall 22,0.4,0.46315789473684216
206,H8,W,W,W,Summer 22,0.0,0.0
207,H8,W,W,W,Summer 23,0.13333333333333333,0.11685393258426971
208,M1,H,H,H,Fall 22,1.3428571428571427,2.2700924974306274
209,M1,H,H,H,Summer 22,0.5333333333333333,0.9988700564971754
210,M1,H,H,M,Fall 22,3.2333333333333334,4.248314606741573
211,M1,H,H,M,Summer 22,2.95,4.471052631578948
212,M1,H,H,W,Fall 22,0.4666666666666667,0.42259887005649727
213,M1,H,H,W,Summer 22,0.2,0.17777777777777778
214,M1,H,H,W,Summer 23,0.5,0.6255707762557075
215,M1,H,M,H,Fall 22,12.48,59.51999999999999
216,M1,H,M,H,Summer 22,14.053571428571429,56.924350649350615
217,M1,H,M,W,Fall 22,4.1,2.322222222222222
218,M1,H,M,W,Summer 22,1.45,0.9973684210526316
219,M1,H,M,W,Summer 23,2.4909090909090907,3.665054211843202
220,M1,H,W,H,Fall 22,0.45555555555555555,0.5204744069912608
221,M1,H,W,H,Summer 22,0.0,0.0
222,M1,H,W,M,Fall 22,0.9,0.5157894736842105
223,M1,H,W,M,Summer 22,0.6,1.3230769230769233
224,M1,H,W,W,Fall 22,0.3,0.4241379310344829
225,M1,H,W,W,Summer 22,0.0,0.0
226,M1,H,W,W,Summer 23,0.2909090909090909,0.2815679733110926
227,M1,M,H,H,Fall 22,2.6,7.144827586206898
228,M1,M,H,H,Summer 22,10.6,33.30526315789475
229,M1,M,H,M,Fall 22,7.68,43.16081632653059
230,M1,M,H,W,Fall 22,4.560975609756097,23.767097082735532
231,M1,M,H,W,Spring 23,5.320987654320987,15.195679012345675
232,M1,M,H,W,Summer 22,9.6,59.30526315789475
233,M1,M,H,W,Summer 23,8.75,85.00899280575534
234,M1,M,M,H,Fall 22,18.666666666666668,161.264367816092
235,M1,M,M,W,Fall 22,12.364864864864865,66.20751573491297
236,M1,M,M,W,Spring 23,14.384615384615385,79.60615384615386
237,M1,M,M,W,Summer 23,22.354166666666668,304.5740248226951
238,M1,M,W,H,Fall 22,5.95,17.9974358974359
239,M1,M,W,H,Summer 22,5.625,8.753205128205128
240,M1,M,W,W,Fall 22,2.938775510204082,5.225340136054422
241,M1,M,W,W,Spring 23,9.416666666666666,73.9927536231884
242,M1,M,W,W,Summer 22,11.208333333333334,66.4856442577031
243,M1,M,W,W,Summer 23,4.625,35.47784810126583
244,M1,W,H,H,Fall 22,0.525,0.8198717948717948
245,M1,W,H,H,Summer 22,0.3,0.2862068965517241
246,M1,W,H,M,Fall 22,2.625,2.4455128205128207
247,M1,W,H,M,Summer 22,2.1333333333333333,3.016091954022988
248,M1,W,H,W,Fall 22,1.1,3.6555555555555554
249,M1,W,H,W,Summer 22,0.03333333333333333,0.03333333333333333
250,M1,W,H,W,Summer 23,0.2875,0.30870253164556954
251,M1,W,M,H,Summer 22,10.2,18.4
252,M1,W,M,W,Summer 22,1.5,1.6111111111111112
253,M1,W,M,W,Summer 23,1.7333333333333334,1.4436781609195395
254,M1,W,W,H,Fall 22,0.2,0.17777777777777778
255,M1,W,W,H,Summer 22,0.0,0.0
256,M1,W,W,M,Fall 22,0.45,0.5763157894736842
257,M1,W,W,W,Summer 23,0.0875,0.10617088607594936
258,M3,H,H,H,Summer 23,0.8714285714285714,1.1571428571428573
259,M3,H,H,M,Summer 23,3.0,3.5555555555555554
260,M3,H,H,W,Summer 22,0.13333333333333333,0.18850574712643678
261,M3,H,H,W,Summer 23,0.4,0.3578947368421053
262,M3,H,M,H,Summer 23,12.777777777777779,27.663492063492065
263,M3,H,M,W,Summer 22,1.5263157894736843,1.4853801169590644
264,M3,H,M,W,Summer 23,3.55,4.155263157894737
265,M3,H,W,H,Summer 23,0.125,0.11217948717948718
266,M3,H,W,M,Summer 23,0.25,0.19736842105263164
267,M3,H,W,W,Summer 22,0.0,0.0
268,M3,H,W,W,Summer 23,0.1,0.10000000000000002
269,M3,M,H,H,Summer 23,4.98,7.28530612244898
270,M3,M,H,M,Summer 23,9.428571428571429,37.85714285714286
271,M3,M,H,W,Fall 22,5.125,4.4707207207207205
272,M3,M,H,W,Spring 23,4.444444444444445,6.100628930817607
273,M3,M,H,W,Summer 22,2.2222222222222223,2.418300653594771
274,M3,M,M,H,Summer 23,8.15,18.344736842105263
275,M3,M,M,W,Fall 22,12.583333333333334,9.71969696969697
276,M3,M,M,W,Spring 23,7.3076923076923075,13.230769230769235
277,M3,M,M,W,Summer 22,6.555555555555555,10.967320261437909
278,M3,M,W,H,Summer 23,4.133333333333334,5.085057471264368
279,M3,M,W,W,Fall 22,2.783333333333333,1.2234463276836163
280,M3,M,W,W,Spring 23,4.37037037037037,3.0883190883190887
281,M3,M,W,W,Summer 22,8.736363636363636,26.471142618849026
282,M3,W,H,H,Summer 23,0.475,0.5121794871794872
283,M3,W,H,M,Summer 23,1.9,2.5444444444444443
284,M3,W,H,W,Summer 22,0.0,0.0
285,M3,W,H,W,Summer 23,0.05,0.04999999999999999
286,M3,W,M,H,Summer 23,9.2,13.288888888888888
287,M3,W,M,W,Summer 23,1.15,1.1868421052631581
288,M3,W,W,H,Summer 23,0.2,0.1777777777777778
289,M3,W,W,W,Summer 22,0.2,0.4
290,M3,W,W,W,Summer 23,0.1,0.1
291,M4,H,H,W,Spring 23,0.34959349593495936,0.4587498333999735
292,M4,H,H,W,Summer 22,0.19318181818181818,0.22661964472309298
293,M4,H,M,W,Spring 23,1.35,2.028947368421052
294,M4,H,M,W,Summer 22,1.471698113207547,1.4847605224963716
295,M4,H,W,W,Spring 23,0.05,0.049999999999999996
296,M4,H,W,W,Summer 22,0.11666666666666667,0.2064971751412429
297,M4,M,H,W,Fall 22,5.073394495412844,18.90197077811757
298,M4,M,H,W,Spring 23,2.5,1.9615384615384615
299,M4,M,H,W,Summer 22,4.321428571428571,6.876623376623375
300,M4,M,M,W,Fall 22,16.7,159.19387755102048
301,M4,M,M,W,Spring 23,6.9411764705882355,6.6838235294117645
302,M4,M,M,W,Summer 22,3.0,2.5714285714285716
303,M4,M,W,W,Fall 22,8.50632911392405,32.38136968516716
304,M4,M,W,W,Summer 22,3.1,4.896899224806203
305,M4,W,H,W,Spring 23,0.18333333333333332,0.25395480225988704
306,M4,W,H,W,Summer 22,0.0,0.0
307,M4,W,M,W,Spring 23,0.3,0.4555555555555555
308,M4,W,M,W,Summer 22,0.7857142857142857,0.693121693121693
309,M4,W,W,W,Spring 23,0.1,0.1
310,M4,W,W,W,Summer 22,0.0,0.0
311,M6,H,H,W,Summer 22,0.8921933085501859,1.3353492759252066
312,M6,H,H,W,Summer 23,1.3384615384615384,1.6364937388193204
313,M6,H,M,W,Summer 22,2.795698924731183,4.751285647498832
314,M6,H,M,W,Summer 23,3.7142857142857144,5.975155279503105
315,M6,H,W,W,Summer 22,0.56,0.7943434343434344
316,M6,H,W,W,Summer 23,0.6428571428571429,0.5807453416149068
317,M6,M,H,W,Fall 22,8.357723577235772,57.05131280821004
318,M6,M,H,W,Spring 23,8.342857142857143,47.909730848861294
319,M6,M,H,W,Summer 22,15.735294117647058,125.15276558384545
320,M6,M,H,W,Summer 23,16.849056603773583,374.93831640058056
321,M6,M,M,W,Fall 22,16.4,102.54117647058821
322,M6,M,M,W,Spring 23,8.58974358974359,38.24831309041836
323,M6,M,M,W,Summer 22,30.166666666666668,343.62318840579707
324,M6,M,M,W,Summer 23,57.23076923076923,65.85897435897435
325,M6,M,W,W,Fall 22,7.461538461538462,38.14979757085022
326,M6,M,W,W,Spring 23,12.782608695652174,54.177865612648226
327,M6,M,W,W,Summer 22,22.008333333333333,180.47892156862738
328,M6,M,W,W,Summer 23,7.0,6.0
329,M6,W,H,W,Summer 22,0.8787878787878788,2.0259740259740253
330,M6,W,H,W,Summer 23,0.5,0.5
331,M6,W,M,W,Summer 22,1.7872340425531914,3.0407030527289542
332,M6,W,M,W,Summer 23,2.5,2.2777777777777777
333,M6,W,W,W,Summer 22,0.2,0.17777777777777778
334,M6,W,W,W,Summer 23,0.36,0.48000000000000015
335,M7,H,H,W,Summer 22,0.46,0.5135353535353537
336,M7,H,M,W,Summer 22,3.7857142857142856,6.207792207792208
337,M7,H,W,W,Summer 22,0.2571428571428571,0.5126293995859212
338,M7,M,H,W,Spring 23,9.5,38.057377049180324
339,M7,M,H,W,Summer 22,7.96078431372549,59.35843137254901
340,M7,M,M,W,Spring 23,9.222222222222221,123.41025641025642
341,M7,M,M,W,Summer 22,28.571428571428573,325.4873949579831
342,M7,M,W,W,Spring 23,6.037037037037037,33.99860237596085
343,M7,M,W,W,Summer 22,8.014492753623188,15.485080988917302
344,M7,W,H,W,Summer 22,0.041666666666666664,0.04078014184397163
345,M7,W,M,W,Summer 22,1.6,4.463157894736842
346,M8,H,H,H,Fall 22,1.7,1.868686868686869
347,M8,H,H,H,Summer 22,0.5333333333333333,0.9471264367816092
348,M8,H,H,M,Fall 22,4.233333333333333,3.6333333333333337
349,M8,H,H,M,Summer 22,5.695652173913044,143.37198067632852
350,M8,H,H,W,Fall 22,0.7777777777777778,0.6349206349206351
351,M8,H,H,W,Summer 22,0.3,0.32631578947368417
352,M8,H,H,W,Summer 23,0.724,0.8994216867469881
353,M8,H,M,H,Fall 22,10.0,43.75000000000001
354,M8,H,M,H,Summer 22,16.75,20.092105263157897
355,M8,H,M,W,Fall 22,5.3,7.273684210526315
356,M8,H,M,W,Summer 22,3.5319148936170213,83.38482886216464
357,M8,H,M,W,Summer 23,4.184210526315789,6.208392603129445
358,M8,H,W,H,Fall 22,0.6,0.5491525423728812
359,M8,H,W,H,Summer 22,0.55,0.5763157894736842
360,M8,H,W,M,Fall 22,0.1,0.09999999999999999
361,M8,H,W,W,Fall 22,1.0,0.4444444444444444
362,M8,H,W,W,Summer 22,0.05,0.04999999999999999
363,M8,H,W,W,Summer 23,0.463768115942029,0.732254310800804
364,M8,M,H,H,Fall 22,6.641025641025641,16.762483130904183
365,M8,M,H,H,Summer 22,6.3,14.011111111111113
366,M8,M,H,W,Spring 23,4.575,6.866025641025642
367,M8,M,H,W,Summer 22,7.204081632653061,71.04081632653062
368,M8,M,H,W,Summer 23,9.612612612612613,34.47583947583947
369,M8,M,M,H,Summer 22,18.4,38.93333333333333
370,M8,M,M,W,Spring 23,6.666666666666667,8.384615384615383
371,M8,M,M,W,Summer 23,16.62295081967213,202.40546448087434
372,M8,M,W,H,Fall 22,6.8,9.955555555555556
373,M8,M,W,H,Summer 22,5.7,7.344444444444444
374,M8,M,W,M,Fall 22,5.1,5.433333333333333
375,M8,M,W,M,Summer 22,10.0,253.0
376,M8,M,W,W,Spring 23,3.4705882352941178,6.135472370766489
377,M8,M,W,W,Summer 22,11.363636363636363,44.967472894078384
378,M8,M,W,W,Summer 23,7.5,21.833333333333325
379,M8,W,H,H,Fall 22,0.9,0.5444444444444445
380,M8,W,H,H,Summer 22,0.3103448275862069,0.293103448275862
381,M8,W,H,M,Fall 22,3.793103448275862,2.6699507389162562
382,M8,W,H,M,Summer 22,2.2,3.7333333333333325
383,M8,W,H,W,Summer 22,0.25,0.3026315789473684
384,M8,W,H,W,Summer 23,0.2714285714285714,0.3142857142857143
385,M8,W,M,W,Fall 22,3.05,2.892105263157894
386,M8,W,M,W,Summer 22,0.9,0.5444444444444445
387,M8,W,M,W,Summer 23,2.1666666666666665,2.3785310734463274
388,M8,W,W,H,Fall 22,0.55,0.40769230769230774
389,M8,W,W,H,Summer 22,0.0,0.0
390,M8,W,W,M,Fall 22,1.2,0.8444444444444444
391,M8,W,W,M,Summer 22,0.2,0.4000000000000001
392,M8,W,W,W,Fall 22,0.8,1.0666666666666664
393,M8,W,W,W,Summer 22,0.0,0.0
394,M8,W,W,W,Summer 23,0.32,0.3444897959183675
395,W,H,H,H,Fall 22,0.9,1.5454545454545445
396,W,H,H,H,Summer 22,0.7215189873417721,5.588120740019472
397,W,H,H,H,Summer 23,1.0142857142857142,2.159213250517598
398,W,H,H,M,Fall 22,2.98,4.142448979591838
399,W,H,H,M,Summer 22,1.1025641025641026,3.0283050283050286
400,W,H,H,M,Summer 23,2.6,1.5999999999999999
401,W,H,H,W,Fall 22,0.55,0.7666666666666665
402,W,H,H,W,Spring 23,0.18666666666666668,0.20792792792792794
403,W,H,H,W,Summer 22,0.23883161512027493,0.39897143803490837
404,W,H,H,W,Summer 23,0.2722222222222222,0.33191160562509664
405,W,H,M,H,Fall 22,8.0,9.931034482758621
406,W,H,M,H,Summer 22,8.1625,13.049208860759494
407,W,H,M,H,Summer 23,7.829268292682927,8.895121951219515
408,W,H,M,W,Fall 22,1.9473684210526316,1.5647226173541964
409,W,H,M,W,Spring 23,0.42857142857142855,0.26373626373626374
410,W,H,M,W,Summer 22,1.0724137931034483,1.845949170743348
411,W,H,M,W,Summer 23,1.6166666666666667,2.388005578800558
412,W,H,W,H,Fall 22,0.6285714285714286,0.8165631469979296
413,W,H,W,H,Summer 22,0.016666666666666666,0.016666666666666663
414,W,H,W,H,Summer 23,0.2,0.24489795918367346
415,W,H,W,M,Fall 22,0.5222222222222223,0.5669163545568039
416,W,H,W,M,Summer 22,0.8214285714285714,15.707671957671957
417,W,H,W,W,Fall 22,0.10416666666666667,0.09530141843971632
418,W,H,W,W,Spring 23,0.23333333333333334,0.5988505747126436
419,W,H,W,W,Summer 22,0.12605042016806722,0.14417901992257592
420,W,H,W,W,Summer 23,0.19142857142857142,0.22399508800654946
421,W,M,H,H,Fall 22,0.45,0.45897435897435873
422,W,M,H,H,Summer 22,0.58,0.8608163265306126
423,W,M,H,H,Summer 23,0.9,1.1122448979591835
424,W,M,H,M,Fall 22,2.85,2.8710526315789484
425,W,M,H,M,Summer 22,3.3684210526315788,22.24561403508772
426,W,M,H,W,Fall 22,0.8597475455820477,1.5196274642671406
427,W,M,H,W,Spring 23,0.47594501718213056,0.6457198455086914
428,W,M,H,W,Summer 22,0.42035398230088494,0.48473942969518197
429,W,M,H,W,Summer 23,0.8328767123287671,1.5681469215715798
430,W,M,M,H,Fall 22,7.9,5.433333333333334
431,W,M,M,W,Fall 22,2.9698996655518393,2.2843258288253905
432,W,M,M,W,Spring 23,1.555023923444976,2.28662127346338
433,W,M,M,W,Summer 22,2.3354430379746836,5.217971458518102
434,W,M,M,W,Summer 23,3.5822784810126582,5.759169100941253
435,W,M,W,H,Fall 22,1.4333333333333333,1.0126436781609194
436,W,M,W,H,Summer 22,0.125,0.11217948717948718
437,W,M,W,H,Summer 23,0.1,0.16206896551724134
438,W,M,W,M,Fall 22,0.4,0.26666666666666666
439,W,M,W,W,Fall 22,0.46543778801843316,0.5542299464671513
